b;tasma kalenicowa;PODSTAWOWY;Taśma kalenicowa Vent-roll 300 mm aluminiowa;3.50;200
b;tasma kalenicowa;BRAK;Taśma kalenicowa Vent-roll 300 mm miedziana;9.68;200
b;tasma kalenicowa;PREMIUM;Taśma kalenicowa Vent-roll 390 mm aluminiowa;4.84;200
b;tasma kalenicowa;BRAK;Taśma kalenicowa Vent-roll 390 mm miedziana;16.13;200
b;tasma kalenicowa;LUX;Taśma kalenicowa Vental Respiro;7.10;200
b;tasma kalenicowa;BRAK;Taśma kalenicowa aluminiowa;5.91;200
b;tasma kalenicowa;BRAK;Taśma kalenicowa Blach-vent i Blach-vent plus;4.89;200
b;tasma kalenicowa;BRAK;Wywietrznik kalenicowy ze szczotką WK 62, WK 75;10.43;200
b;tasma kalenicowa;BRAK;Wywietrznik kalenicowy do gontów bitumicznych;26.88;200
b;wspornik;PODSTAWOWY;Wspornik łaty kalenicowej gwóźdź 210mm ocynk ogniowy;0.83;200
b;wspornik;BRAK;Wspornik łaty kalenicowej gwóźdź 230mm ocynk ogniowy;0.99;200
b;wspornik;PREMIUM;Wspornik łaty kalenicowej typu BL - blaszka;1.00;200
b;wspornik;LUX;Wspornik łaty kalenicowej gwóźdź 210mm ocynk galwaniczny;0.75;200
b;wspornik;BRAK;Wspornik łaty kalenicowej gwóźdź do 260mm ocynk ogniowy;0.99;200
b;tasma do obrobki;PODSTAWOWY;Taśma do obróbki komina aluminiowa Eurotec Classic;9.90;200
b;tasma do obrobki;BRAK;Taśma do obróbki komina aluminiowa Eurotec Fortis AL;9.90;200
b;tasma do obrobki;PREMIUM;Taśma do obróbki komina ołowiana Eurotec PB3;21.50;200
b;tasma do obrobki;BRAK;Taśma do obróbki komina ołowiana Eurotec PB;24.60;200
b;tasma do obrobki;LUX;Taśma do obróbki komina ołowiana Eurotec Fortis PB;24.60;200
b;tasma do obrobki;BRAK;Taśma do obróbki komina ołowiana Eurotec N;29.00;200
b;listwa;PODSTAWOWY;Listwa wykończeniowa aluminiowa;6.50;200
b;kosz;PODSTAWOWY;Kosz dachowy aluminiowy 2mb;28.00;100
b;kosz;PREMIUM;Kosz dachowy aluminiowy 6mb rolka;84.00;100
b;klamra do mocowania kosza;PODSTAWOWY;Klamra do mocowania kosza;0.20;200
b;tasma samorozprezna;PODSTAWOWY;Samoprzylepny klin uszczelniający kosz 60 mm;0.75;200
b;tasma samorozprezna;PREMIUM;Taśma samorozprężna 20x6/50;21.51;200
b;tasma samorozprezna;LUX;Taśma samorozprężna 20x8/40;23.66;200
b;grzebien;PODSTAWOWY;Grzebień okapowy płaski ECO 55;0.75;200
b;grzebien;PREMIUM;Grzebień okapowy płaski 55;0.86;200
b;grzebien;LUX;Grzebień okapowy z kratką wentylacyjną;1.94;200
b;grzebien;BRAK;Okapowa kratka wentylacyjna;2.09;200
b;kratka;PODSTAWOWY;Kratka zabezpieczająca przed ptactwem 80mm;0.93;200
b;kratka;PREMIUM;Kratka zabezpieczająca przed ptactwem 100mm;1.56;200
b;pas;PODSTAWOWY;Pas okapowy aluminiowy;12.37;200
b;pas;PREMIUM;Pas okapowy w rolce 10mb aluminiowy ;26.88;200
b;klamra do gasiora;PODSTAWOWY;Klamra do gąsiora betonowego;0.25;200
b;klamra do gasiora;PREMIUM;Klamra do gąsiora Tondach/Meindl, Röben/Jungmeier i Rupp Sattel/ Konisch;0.31;200
b;klamra do gasiora;LUX;Klamra do gąsiora Koramic karpiówka nr 1, nr 2, nr 3, W11, GE20, Erlus 18, Bogen nr 1, nr 2;0.49;200
b;klamra do gasiora;BRAK;Klamra do gąsiora Meyer Holsen;0.81;200
b;spinka;PODSTAWOWY;Spinka do dachówki cementowej U (opak. 100 szt);4.52;200
b;spinka;PREMIUM;Spinka boczna do dachówki cementowej (opak. 250 szt) NORD II , NORD III;26.88;200
b;spinka;BRAK;Spinka uniwersalna do dachówki ceramicznej (opak. 250 szt) MD-1.416,MD-PL;33.60;200
b;spinka;LUX;Spinka uniwersalna do dachówki ceramicznej (opak. 100 szt) MD-R30, MD-R32;16.13;200
b;spinka;BRAK;Spinka boczna 1.409 do dachówki (opak. 100 szt) Creaton, Koramic, Roben, cementowa;20.43;200
b;spinka cieta;PODSTAWOWY;Spinka do dachówki ciętej (opak. 100 szt) mdm ;1.02;120
b;spinka cieta;PREMIUM;Spinka do dachówki ciętej (opak. 100 szt) Braas;1.45;120
b;lawa mniejsza;PODSTAWOWY;Ława kominiarska stalowa komplet 0,4m DB/DC kolor;61.36;80
b;lawa mniejsza;PREMIUM;Ława kominiarska stalowa komplet 0,4m karp kolor;75.80;80
b;lawa mniejsza;LUX;Ława kominiarska stalowa komplet 0,4m BD kolor;61.36;80
b;lawa mniejsza;BRAK;Ława kominiarska stalowa komplet 0,4m L kolor;75.80;80
b;lawa wieksza;PODSTAWOWY;Ława kominiarska stalowa komplet 0,8m DB/DC kolor;45.76;80
b;lawa wieksza;PREMIUM;Ława kominiarska stalowa komplet 0,8m karp kolor;60.20;80
b;lawa wieksza;BRAK;Ława kominiarska stalowa komplet 0,8m BD kolor;56.96;80
b;lawa wieksza;LUX;Ława kominiarska stalowa komplet 0,8m L kolor;71.40;80
b;stopien;PODSTAWOWY;Stopień kominiarski;30.40;200
b;plotek mniejszy;PODSTAWOWY;Płotek przeciwśniegowy 155 mm x 2 mb / 3 wsporniki ocynk;39.84;120
b;plotek mniejszy;PREMIUM;Płotek przeciwśniegowy 155 mm x 2 mb / 3 wsporniki kolor;48.50;120
b;plotek wiekszy;PODSTAWOWY;Płotek przeciwśniegowy 155 mm x 3 mb / 4 wsporniki kolor;56.10;120
b;plotek wiekszy;PREMIUM;Płotek przeciwśniegowy 155 mm x 3 mb / 4 wsporniki ocynk;46.54;120
b;membrana;PODSTAWOWY;Membrana dachowa Ventia Iron 120;2.04;100
b;membrana;PREMIUM;Membrana dachowa Ventia Cobalt 170;3.04;100
b;membrana;BRAK;Membrana Vaxo L;1.75;100
b;membrana;LUX;Membrana Permo forte Klober;4.79;100
